session_id,vehicle_id,station_id,start_time,end_time,duration_minutes,energy_kwh,total_cost_inr,payment_method,session_status,user_rating
1,114,55,2024-11-10 10:21:00,2024-11-10 12:08:00,107,15.3,116.89,RFID Tag,Failed,2.9
2,288,3,2023-04-28 21:22:00,2023-04-28 23:31:00,129,16.27,107.71,QR Code,Failed,4.7
3,125,11,2024-11-29 10:24:00,2024-11-29 11:08:00,44,7.58,92.1,RFID Tag,Failed,2.1
4,467,133,2024-01-19 16:51:00,2024-01-19 19:16:00,145,27.71,266.85,UPI,Interrupted,4.6
5,99,83,2024-06-10 02:06:00,2024-06-10 03:03:00,57,20.39,280.36,RFID Tag,Failed,1.0
6,34,54,2024-11-17 20:49:00,2024-11-17 21:58:00,69,22.35,162.26,Wallet,Completed,1.8
7,425,112,2024-10-24 02:47:00,2024-10-24 03:41:00,54,3.11,19.94,QR Code,Interrupted,1.2
8,38,14,2023-07-02 08:35:00,2023-07-02 09:08:00,33,7.66,94.45,Credit Card,Interrupted,2.6
9,231,104,2024-03-19 10:01:00,2024-03-19 11:55:00,114,30.01,211.27,RFID Tag,Completed,3.6
10,317,17,2024-08-22 01:44:00,2024-08-22 02:17:00,33,5.39,94.22,RFID Tag,Completed,2.2
11,352,78,2024-09-13 02:18:00,2024-09-13 04:25:00,127,21.69,379.58,QR Code,Completed,2.9
12,274,57,2023-05-20 23:25:00,2023-05-21 01:59:00,154,22.09,367.14,QR Code,Completed,2.2
13,455,96,2023-01-12 17:55:00,2023-01-12 20:32:00,157,14.88,229.15,UPI,Completed,3.3
14,202,22,2023-11-09 06:47:00,2023-11-09 08:30:00,103,12.06,182.23,QR Code,Failed,1.6
15,95,57,2024-09-23 08:12:00,2024-09-23 08:56:00,44,4.73,78.61,RFID Tag,Completed,4.4
16,478,119,2024-10-22 17:04:00,2024-10-22 18:33:00,89,23.38,247.83,Debit Card,Completed,1.8
17,298,125,2023-12-05 11:08:00,2023-12-05 12:23:00,75,6.13,58.85,RFID Tag,Completed,4.6
18,163,125,2024-04-06 10:39:00,2024-04-06 12:12:00,93,25.07,240.67,Credit Card,Failed,3.3
19,414,81,2024-03-14 05:00:00,2024-03-14 06:35:00,95,12.16,142.88,Credit Card,Failed,4.0
20,224,71,2024-01-04 04:43:00,2024-01-04 06:22:00,99,32.47,527.96,Wallet,Interrupted,2.4
21,157,125,2024-07-18 03:11:00,2024-07-18 06:11:00,180,43.58,418.37,Debit Card,Completed,4.6
22,101,68,2024-10-03 02:46:00,2024-10-03 03:20:00,34,11.3,125.09,RFID Tag,Failed,1.1
23,298,104,2024-08-27 06:58:00,2024-08-27 07:22:00,24,5.39,37.95,RFID Tag,Failed,2.9
24,397,39,2024-01-10 12:14:00,2024-01-10 14:59:00,165,46.56,690.95,Debit Card,Completed,2.9
25,262,24,2024-02-11 11:32:00,2024-02-11 11:49:00,17,4.42,74.83,RFID Tag,Failed,1.7
26,264,36,2024-04-01 05:11:00,2024-04-01 07:50:00,159,55.72,635.77,QR Code,Completed,3.9
27,248,92,2023-02-11 07:48:00,2023-02-11 10:07:00,139,17.15,279.03,Debit Card,Interrupted,1.9
28,343,53,2024-06-14 11:24:00,2024-06-14 13:39:00,135,45.99,819.54,UPI,Completed,4.9
29,166,27,2024-12-21 16:40:00,2024-12-21 18:05:00,85,26.72,288.31,Debit Card,Failed,3.2
30,90,97,2024-10-31 12:23:00,2024-10-31 15:08:00,165,42.39,352.68,UPI,Failed,2.0
31,499,58,2024-06-12 12:22:00,2024-06-12 14:05:00,103,21.03,192.42,Wallet,Failed,1.0
32,452,36,2024-03-26 05:14:00,2024-03-26 05:48:00,34,7.24,82.61,Debit Card,Completed,1.6
33,81,93,2024-09-08 22:52:00,2024-09-08 23:37:00,45,11.67,109.93,Wallet,Interrupted,3.9
34,247,123,2024-05-05 06:37:00,2024-05-05 07:33:00,56,14.28,107.39,Wallet,Completed,2.0
35,66,42,2023-05-18 20:32:00,2023-05-18 20:57:00,25,8.3,42.91,Credit Card,Completed,1.7
36,473,47,2024-06-13 12:38:00,2024-06-13 15:17:00,159,40.05,306.78,QR Code,Failed,3.6
37,146,22,2023-08-10 14:38:00,2023-08-10 16:53:00,135,43.83,662.27,Credit Card,Completed,4.3
38,308,37,2024-08-19 05:39:00,2024-08-19 08:04:00,145,19.4,341.44,QR Code,Failed,2.4
39,233,18,2023-08-24 12:24:00,2023-08-24 13:12:00,48,4.05,66.99,Credit Card,Failed,4.4
40,259,108,2023-06-03 19:06:00,2023-06-03 20:06:00,60,12.04,141.95,RFID Tag,Failed,1.2
41,402,129,2023-05-01 02:30:00,2023-05-01 03:18:00,48,16.11,79.58,RFID Tag,Completed,4.6
42,397,111,2024-06-18 13:23:00,2024-06-18 13:49:00,26,7.04,105.11,Wallet,Completed,4.8
43,247,98,2023-12-25 18:51:00,2023-12-25 21:33:00,162,13.11,193.37,Credit Card,Interrupted,2.9
44,120,22,2023-10-18 19:56:00,2023-10-18 22:30:00,154,27.63,417.49,Credit Card,Completed,3.8
45,405,2,2024-08-14 16:07:00,2024-08-14 18:35:00,148,7.74,105.81,QR Code,Completed,3.8
46,162,105,2024-01-06 03:09:00,2024-01-06 05:13:00,124,31.79,426.3,Debit Card,Interrupted,4.4
47,217,94,2024-09-18 08:43:00,2024-09-18 10:39:00,116,33.53,259.19,Wallet,Failed,4.1
48,248,46,2024-01-15 17:35:00,2024-01-15 19:53:00,138,17.99,207.6,Debit Card,Failed,2.4
49,362,102,2023-05-22 21:07:00,2023-05-22 22:20:00,73,13.97,187.48,QR Code,Completed,1.4
50,261,103,2023-12-13 17:39:00,2023-12-13 18:07:00,28,2.83,16.73,QR Code,Completed,4.2
51,422,38,2024-04-27 19:27:00,2024-04-27 20:04:00,37,2.6,37.36,Credit Card,Interrupted,1.3
52,20,99,2024-02-15 19:41:00,2024-02-15 22:09:00,148,20.83,364.52,RFID Tag,Completed,4.8
53,420,45,2024-10-17 15:28:00,2024-10-17 15:45:00,17,1.94,24.33,QR Code,Failed,2.1
54,18,131,2024-06-12 22:14:00,2024-06-13 01:06:00,172,17.83,239.99,UPI,Interrupted,2.0
55,1,41,2023-03-30 08:49:00,2023-03-30 10:46:00,117,18.93,175.67,Wallet,Interrupted,3.3
56,266,4,2024-12-21 02:58:00,2024-12-21 03:36:00,38,8.51,35.15,QR Code,Failed,4.7
57,179,89,2023-10-11 07:38:00,2023-10-11 08:42:00,64,12.42,103.46,Wallet,Failed,1.0
58,90,105,2024-06-02 03:35:00,2024-06-02 04:08:00,33,6.91,92.66,Debit Card,Completed,4.2
59,490,66,2024-07-04 18:16:00,2024-07-04 20:24:00,128,45.56,239.65,RFID Tag,Interrupted,4.1
60,388,87,2024-04-14 21:29:00,2024-04-15 00:14:00,165,53.29,379.96,Wallet,Completed,2.0
61,196,57,2024-11-24 22:14:00,2024-11-24 23:49:00,95,17.16,285.2,Debit Card,Failed,3.1
62,359,68,2023-09-12 09:05:00,2023-09-12 11:02:00,117,30.81,341.07,Debit Card,Completed,3.2
63,92,122,2023-11-18 11:13:00,2023-11-18 13:54:00,161,21.77,254.49,QR Code,Failed,4.7
64,98,128,2023-07-24 07:47:00,2023-07-24 09:03:00,76,24.8,132.18,Credit Card,Completed,1.8
65,128,92,2023-06-09 03:07:00,2023-06-09 03:42:00,35,9.24,150.33,QR Code,Interrupted,3.5
