mapping_id,user_id,vehicle_id,ownership_start_date,ownership_type
1,174,205,2022-11-28,Co-owner
2,264,22,2021-09-25,Fleet Driver
3,173,224,2022-08-25,Fleet Driver
4,44,271,2021-12-23,Co-owner
5,139,63,2022-09-25,Owner
6,346,101,2022-05-24,Co-owner
7,185,375,2021-11-16,Owner
8,72,266,2022-07-11,Fleet Driver
9,35,169,2021-09-25,Co-owner
10,357,389,2021-10-08,Co-owner
11,283,60,2022-05-22,Fleet Driver
12,314,51,2022-01-25,Co-owner
13,373,243,2022-03-27,Owner
14,290,31,2022-01-06,Co-owner
15,91,378,2021-11-16,Co-owner
16,304,92,2022-10-06,Owner
17,300,442,2022-11-03,Fleet Driver
18,352,53,2022-02-02,Co-owner
19,82,293,2022-03-09,Fleet Driver
20,139,258,2022-11-05,Co-owner
21,57,146,2022-12-29,Owner
22,111,418,2022-04-14,Co-owner
23,356,361,2022-06-12,Fleet Driver
24,298,98,2022-03-10,Owner
25,146,438,2022-10-07,Co-owner
26,165,79,2022-12-30,Owner
27,84,421,2022-01-03,Owner
28,56,231,2022-07-31,Owner
29,78,27,2022-02-18,Fleet Driver
30,332,155,2022-01-07,Co-owner
31,224,317,2022-04-19,Fleet Driver
32,267,201,2022-06-09,Co-owner
33,320,153,2022-03-29,Owner
34,354,278,2022-10-18,Co-owner
35,96,482,2021-11-18,Fleet Driver
36,64,127,2022-01-28,Co-owner
37,235,455,2022-01-24,Co-owner
38,311,488,2022-11-10,Co-owner
39,160,490,2022-08-15,Fleet Driver
40,328,296,2022-10-30,Co-owner
41,98,408,2022-10-17,Fleet Driver
42,59,287,2022-01-31,Owner
43,49,51,2022-09-26,Owner
44,265,162,2021-10-07,Owner
45,112,53,2022-07-02,Co-owner
46,274,393,2022-10-06,Owner
47,149,94,2022-03-29,Co-owner
48,367,499,2022-12-26,Fleet Driver
49,65,76,2021-10-07,Fleet Driver
50,377,472,2022-08-26,Co-owner
51,90,483,2022-06-14,Co-owner
52,42,323,2022-08-30,Owner
53,6,72,2022-07-25,Owner
54,388,452,2022-08-25,Owner
55,124,275,2022-05-29,Co-owner
56,21,417,2022-05-17,Co-owner
57,198,16,2022-07-26,Owner
58,317,471,2021-12-23,Owner
59,334,325,2021-09-10,Fleet Driver
60,339,303,2021-12-13,Fleet Driver
61,253,328,2022-01-05,Co-owner
62,363,203,2021-09-23,Co-owner
63,155,27,2021-08-22,Fleet Driver
64,359,449,2021-09-30,Co-owner
65,250,442,2022-10-25,Owner
66,21,230,2022-02-03,Co-owner
67,92,407,2022-08-05,Fleet Driver
68,27,11,2022-08-31,Owner
69,358,19,2021-10-07,Co-owner
70,38,10,2022-01-14,Fleet Driver
71,387,307,2022-01-01,Co-owner
72,75,146,2021-11-19,Co-owner
73,71,177,2022-08-13,Owner
74,222,178,2022-08-06,Owner
75,224,382,2021-11-12,Fleet Driver
76,273,304,2022-01-23,Owner
77,249,433,2022-05-24,Fleet Driver
78,386,364,2022-01-01,Owner
79,298,283,2022-07-22,Fleet Driver
80,95,113,2022-03-23,Fleet Driver
81,53,413,2022-03-25,Owner
82,262,296,2022-09-26,Co-owner
83,332,99,2021-08-23,Fleet Driver
84,321,86,2021-11-30,Co-owner
85,282,334,2022-05-28,Fleet Driver
86,11,245,2021-10-06,Fleet Driver
87,21,141,2022-10-01,Fleet Driver
88,119,181,2021-09-26,Co-owner
89,396,334,2022-09-05,Owner
90,267,315,2022-02-27,Co-owner
91,297,121,2022-11-26,Owner
92,372,219,2022-01-17,Fleet Driver
93,304,96,2022-01-21,Owner
94,334,98,2022-07-22,Owner
95,160,363,2022-05-07,Fleet Driver
96,30,178,2022-12-29,Co-owner
97,336,2,2022-04-23,Co-owner
98,192,4,2021-12-27,Fleet Driver
99,283,471,2021-12-01,Co-owner
100,290,145,2022-01-29,Fleet Driver
101,313,314,2021-11-22,Co-owner
102,102,401,2022-07-08,Co-owner
103,194,259,2022-06-02,Fleet Driver
104,213,65,2021-12-04,Owner
105,122,280,2021-09-10,Owner
106,167,467,2022-03-11,Co-owner
107,38,313,2021-11-28,Co-owner
108,283,144,2021-12-19,Co-owner
109,143,384,2022-10-06,Owner
110,190,299,2022-07-15,Co-owner
111,52,101,2021-11-09,Owner
112,363,18,2021-12-17,Co-owner
113,314,35,2022-07-06,Co-owner
114,50,298,2022-06-04,Owner
115,338,353,2022-07-04,Owner
116,383,361,2021-09-15,Owner
117,14,306,2022-06-05,Co-owner
118,159,176,2022-11-08,Fleet Driver
119,118,441,2021-11-14,Co-owner
120,118,206,2021-12-10,Co-owner
